,name,link,fee,location,Bayern,Baden-Württemberg,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
35,BKK Technoform,http://www.bkk-technoform.de,1.5,"Baden-Württemberg, Bayern, Niedersachsen, Rheinland-Pfalz",True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False
36,BKK Textilgruppe Hof,http://www.bkk-textilgruppe-hof.de,0.9,Bayern,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,BKK VDN,http://www.bkk-vdn.de,1.5,"Hamburg, Nordrhein-Westfalen, Sachsen",False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
38,BKK VerbundPlus,http://www.bkk-verbundplus.de,1.35,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
39,BKK Verkehrsbau Union (BKK VBU) ,http://www.meine-krankenkasse.de,1.8,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
40,BKK Werra-Meissner,http://www.bkk-werra-meissner.de,1.8,"Bayern, Hessen",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
41,BKK Wirtschaft & Finanzen,http://www.bkk-wf.de/,1.69,"Baden-Württemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen",True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False
42,BKK ZF & Partner,http://www.bkk-zf-partner.de,1.45,"Baden-Württemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Thüringen",True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True
43,BKK_DürkoppAdler,http://www.bkk-da.de,1.29,Nordrhein-Westfalen,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
44,BKK24,http://www.bkk24.de,1.79,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
45,Bosch BKK,http://www.bosch-bkk.de,1.5,"Baden-Württemberg, Bayern, Berlin, Brandenburg, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Thüringen",True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True
46,Continentale Betriebskrankenkasse,http://www.continentale-bkk.de,1.4,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
47,DAK-Gesundheit,http://www.dak.de,1.7,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
48,Debeka BKK,http://www.debeka-bkk.de,1.69,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
49,energie-Betriebskrankenkasse,http://www.energie-bkk.de,1.59,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50,Handelskrankenkasse (hkk) ,http://www.hkk.de,0.98,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
51,Heimat Krankenkasse,http://www.heimat-krankenkasse.de,1.3,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
52,HEK - Hanseatische Krankenkasse,http://www.hek.de,1.3,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
53,IKK - Die Innovationskasse (IK),http://www.die-ik.de/,1.6,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
54,IKK Brandenburg und Berlin,http://www.ikkbb.de,1.77,"Berlin, Brandenburg",False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
55,IKK classic,http://www.ikk-classic.de,1.6,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
56,IKK gesund plus,http://www.ikk-gesundplus.de,1.1,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
57,IKK Südwest,http://www.ikk-suedwest.de,1.65,"Hessen, Rheinland-Pfalz, Saarland",False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
58,Kaufmännische Krankenkasse - KKH,http://www.kkh.de,1.5,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
59,KNAPPSCHAFT,http://www.knappschaft.de,1.6,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
